id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
45,1843,0,1.889036496,0,1,1,45,0.123336228,141,6,4,600,1923,3167,16,3,3,1,0,1,1
46,1958,0,1.782488024,1,0,0,7,0.373473265,156,7,20,286,721,1970,17,8,10,1,0,0,2
48,1154,0,0.498984552,0,0,0,57,0.387848397,196,8,15,688,1805,3269,17,3,13,1,1,0,1
49,1958,0,0.499033524,0,0,1,12,0.392916791,93,7,20,788,1119,3269,11,4,9,1,0,1,0
50,1203,1,1.838550127,0,2,1,42,0.025758277000000003,160,5,10,376,1917,1970,10,7,5,1,0,0,1
51,1027,0,1.367021001,0,0,1,8,0.08701841800000001,150,5,7,667,1162,3624,10,11,2,1,1,1,0
53,1576,0,0.6793713029999999,0,0,1,9,0.35009077299999997,150,2,1,1109,1803,665,13,3,19,1,1,1,1
55,1027,1,2.516748668,1,2,1,11,0.125964614,113,5,15,667,986,2589,14,3,13,1,1,1,1
56,710,0,0.498758927,1,0,1,30,0.04236295,105,1,8,275,1988,286,7,4,7,1,0,0,2
57,1843,0,0.49876844200000003,1,0,1,20,0.031995317999999995,105,1,4,144,1988,286,7,4,7,1,0,0,2
59,1027,1,1.85599583,0,5,0,8,0.12410087300000001,146,2,9,323,1805,3167,9,5,19,1,0,0,1
61,1537,1,0.671123963,0,1,1,36,0.41514802,179,8,4,323,1604,590,18,7,10,1,0,0,1
63,965,0,0.49893651,1,0,1,37,0.5532152370000001,109,4,16,1260,721,1919,17,9,12,1,0,1,2
65,1312,0,1.248192895,1,0,1,18,0.435775562,111,2,15,497,1005,1590,10,11,5,0,1,1,2
67,832,0,0.499224428,0,3,0,31,0.137397346,146,5,14,788,823,2655,16,1,4,0,0,1,1
68,1537,1,1.0865246659999999,0,0,1,46,0.599189522,193,7,1,667,857,3937,18,10,4,1,0,0,3
70,710,1,1.411840455,1,0,0,21,0.348096425,102,5,14,319,721,1970,16,0,4,1,0,1,1
72,1027,0,1.391522493,0,4,1,8,0.40423094,138,7,5,1123,1983,1377,14,1,2,1,0,1,2
73,1537,1,1.876617301,1,0,1,12,0.030483425,187,2,5,242,1299,1970,8,1,20,1,1,0,3
74,1203,0,0.49914781799999997,1,0,0,31,0.40233405200000005,124,3,9,788,721,1970,7,6,13,1,0,1,3
77,1843,0,2.445622377,1,0,1,59,0.798211729,111,3,18,1209,1177,1970,18,12,13,1,0,1,1
78,710,0,0.498758921,1,0,1,41,0.032004714,85,1,4,610,1988,286,7,4,7,1,0,0,2
82,1154,1,0.698125125,1,0,1,2,0.798692794,146,7,10,497,1931,3269,17,7,7,1,1,1,1
84,710,0,0.498791566,1,0,1,27,0.031647786000000004,85,1,4,519,1988,286,7,4,7,1,0,0,2
85,1849,0,1.94424807,1,0,0,8,0.12492789800000001,82,7,10,291,705,286,9,7,8,0,1,0,2
86,1600,1,1.383295421,0,7,1,63,0.41877478799999995,113,7,17,319,721,1970,18,9,6,1,1,1,3
90,1203,1,2.578472274,1,4,1,7,0.553714191,113,7,4,319,1517,1598,15,5,11,1,1,1,1
91,606,0,1.8268213290000002,1,0,1,54,0.028538351,105,4,8,291,1988,286,17,11,12,1,1,0,2
94,1027,1,0.473712846,1,1,1,2,0.059328315,139,6,3,1698,1809,3269,16,3,6,1,0,0,1
95,618,1,1.4022593859999999,0,4,1,8,0.552354311,157,7,5,667,1162,2896,14,1,14,1,0,1,3
96,1456,0,1.906587511,0,4,1,2,0.798639907,146,1,2,411,1759,1598,18,7,14,1,1,0,0
98,1154,0,0.49897210299999994,1,0,1,23,0.13804475900000002,146,2,0,788,1805,3269,9,3,19,1,0,0,1
101,1027,0,2.654990807,1,0,0,33,0.032889961,160,1,1,511,1552,1950,18,3,20,0,1,0,2
102,1027,1,1.934633043,1,2,1,54,0.402982401,182,5,9,286,1604,1970,16,0,13,1,1,1,2
104,710,0,2.04908507,1,0,1,32,0.418720928,179,7,1,18,1291,1970,17,11,7,1,1,1,2
105,1203,0,0.49912608,0,3,0,12,0.615586257,103,4,19,1331,721,2655,14,6,14,1,1,1,1
108,606,0,0.49882123,1,0,1,17,0.032069726,117,1,4,144,1988,286,7,0,7,1,0,0,2
109,1843,0,0.498758075,1,0,1,54,0.03192952,85,1,11,275,1224,286,7,0,7,1,0,0,2
112,1843,0,0.49875948299999995,1,5,1,20,0.033276198,105,1,11,275,1988,286,6,4,7,1,0,0,2
113,1537,0,2.4356852730000003,1,0,0,44,0.356831865,127,3,14,248,1028,1704,16,10,20,1,0,1,1
114,1271,0,0.498907699,0,16,0,23,0.798623522,136,7,15,497,1809,3269,18,8,2,0,0,1,3
115,1203,1,0.645277531,0,2,0,31,0.384791547,150,2,3,1191,730,1970,9,1,6,1,0,0,3
118,710,0,0.498769622,1,0,1,54,0.031035233,105,1,4,144,1988,286,7,4,7,1,0,0,2
119,1866,0,1.802157894,1,2,0,12,0.378902387,106,7,3,1698,1555,1970,17,7,15,1,0,0,1
120,1154,1,1.78910168,0,0,0,16,0.798684466,179,7,1,497,1931,3269,17,8,12,0,1,0,1
121,606,0,0.498756411,1,0,1,54,0.03115236,85,1,4,291,1988,286,7,4,7,1,0,0,2
122,1843,0,2.5927490730000002,0,0,0,37,0.6096109439999999,174,6,3,547,1787,2700,14,1,11,1,0,1,0
123,537,0,0.498795411,1,0,1,20,0.034079477000000004,105,7,11,291,705,286,7,11,8,1,0,1,2
124,1154,1,0.538384357,1,0,1,20,0.7985591320000001,174,4,6,115,1924,1598,15,3,4,1,0,1,3
125,710,0,0.498764859,1,0,1,42,0.035388857,131,1,4,115,1988,286,7,0,7,1,0,0,2
127,1843,0,0.49876170700000005,1,0,1,41,0.033074848,88,1,4,144,1988,286,7,4,12,1,0,0,2
130,710,1,0.49898941399999996,0,0,1,14,0.026734867000000002,138,2,20,688,1931,3269,17,8,7,1,1,1,2
131,606,0,0.498766696,1,0,1,54,0.034706584,88,1,4,144,1988,286,7,4,14,1,0,0,2
132,1203,0,1.31879373,1,4,0,8,0.410616744,146,5,4,248,1604,1970,8,4,15,1,0,1,2
134,1154,0,1.984888451,1,0,1,32,0.095279188,146,8,7,497,1931,3269,8,1,20,1,1,1,0
135,710,1,0.498893061,0,0,1,30,0.349853431,124,4,3,788,1023,3269,14,3,11,1,0,1,1
136,1027,1,2.579167654,0,0,1,36,0.85326234,111,3,1,364,1374,1970,18,1,9,1,0,1,3
137,710,0,0.498747259,1,0,1,41,0.030593579,105,1,4,610,1988,286,7,5,7,1,0,0,2
138,1027,1,1.6366146480000001,0,1,0,32,0.129901362,158,5,16,815,970,2589,16,6,3,1,0,1,2
139,1977,1,1.849362181,0,0,1,49,0.351116011,86,2,15,418,1805,3269,18,3,4,1,0,0,0
141,1259,1,1.2299912590000002,0,7,1,47,0.7985853620000001,169,4,17,115,1951,1598,8,7,7,1,0,0,3
142,1027,0,0.552171671,1,1,0,53,0.798616159,146,5,14,1728,1591,2655,7,6,5,0,1,0,2
146,710,1,1.991605564,0,0,0,45,0.121685906,155,2,3,497,1407,3167,9,5,19,1,0,0,1
147,1843,0,0.49902942899999997,0,3,0,32,0.02842806,110,5,1,364,1199,3952,17,7,11,0,1,1,2
148,1203,0,1.8706315669999998,0,0,0,7,0.551597975,176,7,7,667,1023,2655,15,1,11,1,1,1,0
150,1203,1,0.632751285,0,1,0,11,0.40078967600000004,104,5,3,1331,721,1970,14,7,4,1,0,1,3
151,1271,0,0.49874598200000003,1,0,1,9,0.7986126179999999,124,2,17,115,1809,3269,18,2,14,1,0,1,2
152,577,1,0.498979767,1,0,0,31,0.914984175,190,7,1,788,721,461,16,1,15,1,0,0,3
154,1203,1,2.644682022,0,3,1,54,0.412960641,194,8,5,867,1456,1150,8,1,10,1,0,1,1
155,1849,0,0.638951209,1,0,1,28,0.798638615,160,7,2,547,1931,3269,18,1,11,0,0,0,3
156,1663,0,1.844384025,1,0,1,20,0.035408728,105,1,4,144,1988,286,7,4,7,1,0,0,2
157,1027,1,1.08534522,1,3,1,9,0.8483487390000001,122,2,12,747,721,1970,16,7,8,1,0,1,0
159,1027,1,0.662779985,0,2,1,54,0.40824001600000004,168,7,15,667,1889,3167,6,4,9,1,1,1,1
160,1203,1,1.6757051790000002,0,16,0,15,0.029354822000000003,170,7,17,1092,1162,1503,16,3,19,0,0,0,1
161,1271,1,2.560633209,1,1,0,9,0.798847533,132,8,3,45,1740,3269,16,2,7,1,1,1,0
162,1027,1,1.647430543,0,1,0,32,0.8643527609999999,164,5,2,364,1199,1970,17,7,10,0,0,0,1
163,1027,1,0.47000062299999995,0,0,1,8,0.024455115,122,2,1,616,884,665,8,7,14,1,0,0,0
165,812,0,0.49876233200000003,1,0,1,20,0.033381497,85,1,11,275,1988,286,7,0,2,1,0,0,2
167,710,1,0.498748426,1,0,1,20,0.032915568,131,1,4,275,1988,286,7,4,7,1,0,0,2
168,1958,0,2.455203294,1,0,0,31,0.852871873,138,2,9,236,1199,832,19,10,20,0,1,0,2
170,1843,0,0.498762405,1,0,1,20,0.033022649,105,1,4,275,1988,286,7,4,7,1,0,0,2
173,1866,0,0.5314586029999999,1,0,0,5,0.7985873990000001,118,7,3,115,1951,3269,15,3,6,1,1,1,1
175,1831,1,1.6623859319999998,0,0,1,63,0.845615753,103,8,2,286,1291,3473,9,3,19,1,0,0,2
178,1537,1,1.8137594890000002,0,0,1,27,0.022412795,154,3,1,403,891,3206,18,2,9,1,1,1,1
180,1203,1,0.49913083399999997,1,1,0,12,0.91782708,149,6,3,381,721,1484,19,7,18,0,1,1,3
183,1203,0,1.1396052220000001,0,0,0,13,0.09892330699999999,166,5,7,1331,651,1083,12,2,2,0,1,0,0
184,1600,0,0.584743848,1,0,1,25,0.35742179399999996,189,2,3,286,1604,1970,18,7,14,1,0,1,2
185,710,1,0.498761622,1,0,0,27,0.10094630800000001,190,6,1,788,1023,3269,9,4,15,0,1,1,1
186,1154,1,0.632307325,0,0,0,22,0.048510955999999994,136,2,9,519,1809,2336,13,11,8,0,1,0,0
187,606,0,0.49877498600000003,1,0,1,20,0.031784049,85,1,4,519,1988,286,7,4,7,1,0,0,2
190,1154,0,1.8845715669999998,1,0,1,33,0.798648415,121,7,10,115,1159,3269,18,0,2,1,0,1,3
193,1958,1,0.49910893100000003,0,0,0,46,0.12992711,190,7,20,788,721,1418,16,1,15,1,0,0,1
194,577,1,0.467195314,0,0,1,2,0.798590135,145,4,4,411,1951,3269,10,3,4,1,0,1,0
198,1185,1,2.33976185,0,2,0,32,0.608409996,113,8,1,1248,1960,3937,14,2,9,1,0,0,3
200,1576,0,0.5788074639999999,0,1,0,2,0.798614877,145,1,3,497,1809,3269,10,2,14,1,0,0,1
201,1027,1,2.67192817,1,0,1,49,0.350952307,189,4,11,867,1456,3269,12,2,12,1,0,1,1
203,710,0,0.49876826700000004,1,0,1,20,0.032853492000000005,105,1,4,275,1988,286,7,4,7,1,0,0,2
206,1027,1,1.871178124,0,15,0,11,0.849554115,107,2,18,364,1374,1970,17,6,15,1,0,0,0
207,543,0,0.775941577,1,3,1,27,0.02904854,132,3,16,58,941,670,16,0,2,1,1,1,0
208,1203,0,0.499075024,1,7,1,47,0.413101975,169,6,7,364,1670,1484,16,1,17,1,0,0,0
211,1203,1,1.772300294,0,0,1,13,0.029982841,104,5,14,1092,1162,298,18,0,14,1,1,0,3
212,1872,1,1.976432231,1,4,0,45,0.917772845,137,8,5,113,721,1484,8,1,20,0,0,0,0
213,1843,0,0.498765516,1,0,1,20,0.033165205,105,1,4,519,1988,286,7,4,7,1,0,0,2
215,710,1,0.615352392,0,0,1,2,0.7986700729999999,136,7,8,497,1931,3269,18,3,2,1,0,0,2
216,1203,1,1.240241221,1,0,0,54,0.404987748,169,6,0,1191,1555,1484,16,6,6,0,1,1,3
217,710,0,0.498786946,1,0,1,20,0.032439353,193,1,4,144,1988,286,7,4,7,1,0,0,2
218,1977,1,0.7650651909999999,1,0,0,39,0.415429889,182,7,0,206,721,1590,7,3,6,1,1,0,1
223,710,0,0.498763884,1,0,1,54,0.03132113,105,1,4,275,1988,286,7,4,7,1,0,0,2
224,710,0,0.498804769,0,0,1,28,0.798640317,124,4,20,688,1023,3269,8,3,17,1,1,1,1
225,1027,0,1.316634147,1,5,1,17,0.798626134,111,5,1,182,519,1077,10,0,20,1,1,1,3
229,1203,1,0.497854891,0,0,1,64,0.410055269,104,3,14,1087,721,1970,14,3,9,1,1,0,1
230,1154,1,0.49900852799999995,1,0,1,61,0.41365719,196,2,0,788,1805,3269,7,6,19,1,0,1,3
232,1027,0,1.2972428409999999,1,1,0,15,0.021214702000000002,110,1,4,1191,849,1590,18,3,11,0,0,1,1
233,1310,1,0.498949865,0,7,1,30,0.348601819,146,5,14,788,1023,3269,12,3,13,1,1,0,2
236,1203,1,1.269351328,0,4,1,43,0.6099795960000001,113,7,9,319,989,3693,5,9,13,1,1,1,3
237,1027,0,0.486381095,0,0,0,61,0.91042689,146,2,3,286,721,1970,16,5,20,1,0,0,2
239,1831,0,1.220909499,1,0,0,47,0.348633122,185,4,18,471,1224,286,7,6,8,1,0,1,2
242,1203,0,0.668211962,0,2,1,26,0.029861582,134,3,1,980,1010,3952,8,3,14,1,1,0,1
243,1203,0,2.4316693380000003,0,0,0,12,0.41116943799999994,135,6,1,1191,1520,1970,10,12,20,1,0,1,2
248,1027,0,2.5520763719999997,1,0,1,32,0.920782325,103,5,5,660,1917,1970,17,5,6,1,0,0,3
249,1027,0,0.490580201,0,0,0,39,0.055790930999999995,189,4,5,1248,884,1970,14,2,14,1,1,0,2
251,1203,0,1.6567321019999999,0,1,0,18,0.8514447140000001,156,3,14,364,510,1970,18,9,9,1,0,0,1
258,710,1,0.7431874079999999,0,0,0,16,0.348766772,169,1,15,997,1177,2219,16,11,7,1,1,0,2
259,606,0,1.932090123,1,1,1,8,0.40605853399999997,165,8,17,864,1988,3269,15,9,3,1,1,1,1
261,1203,0,0.587816728,1,1,1,16,0.552922569,117,7,3,1087,721,1970,18,3,11,1,0,1,0
264,1027,0,2.623185234,1,0,1,33,0.853267827,101,6,15,867,1456,2219,18,12,16,1,0,1,0
265,1154,0,0.499077262,1,0,1,46,0.149930365,81,4,11,688,1023,3269,5,4,18,1,1,1,0
270,1027,1,0.499001166,0,3,1,12,0.915732447,103,6,7,364,1670,1430,17,1,15,1,1,1,3
271,710,0,0.49877437399999996,1,0,1,20,0.035626488,105,1,4,519,1988,286,7,4,7,1,0,0,2
273,606,0,0.49875685799999997,1,0,1,20,0.033545599999999995,105,1,4,291,1009,286,7,4,7,1,0,0,2
276,1203,0,0.499014744,0,2,1,45,0.41109264799999995,168,2,3,1211,1119,3269,15,3,8,1,0,1,1
278,916,0,0.509176345,1,8,0,27,0.7985836409999999,198,3,20,1698,1115,1590,17,7,7,1,1,0,1
279,772,1,2.441255831,0,0,1,48,0.417132221,171,6,5,347,1163,2655,7,1,6,1,1,1,3
280,1614,0,1.6649105030000002,1,0,1,2,0.798652355,159,1,12,333,1931,3269,18,3,20,1,0,0,1
281,1154,1,0.498926087,0,16,1,32,0.415794414,124,4,20,788,1119,3269,16,1,15,1,0,0,3
284,1203,1,1.3681236019999998,1,7,0,54,0.404492025,169,4,11,71,1787,1503,11,0,2,0,0,1,3
287,710,0,0.49875993799999996,1,0,1,54,0.030684408,99,1,4,144,1988,286,7,4,7,1,0,0,2
288,1203,0,0.470825271,1,0,1,14,0.026403827999999997,136,2,8,581,891,3206,12,5,8,1,1,0,2
289,543,0,1.329842285,1,0,0,9,0.848038414,122,8,4,1170,1555,1590,12,4,4,0,1,1,0
290,1203,1,1.721851038,0,5,0,49,0.8585369340000001,160,2,1,215,1010,1857,15,11,15,1,1,0,1
291,1977,1,0.628389236,0,9,0,9,0.798596599,156,2,8,115,1951,1598,13,5,12,1,0,1,1
292,1843,0,0.498788226,1,0,1,20,0.032589143,99,1,4,144,781,286,7,4,14,1,0,0,2
293,1027,1,1.858956674,0,0,1,6,0.066083798,169,6,1,809,1247,1590,10,0,6,1,0,0,1
298,1980,0,0.563197618,0,3,0,53,0.36156768899999997,163,5,17,781,1162,790,8,4,7,1,1,1,2
299,1027,1,2.484290292,0,0,1,60,0.9261769059999999,138,1,13,364,1374,2993,10,4,20,1,1,0,3
300,1831,0,1.341875491,0,1,0,32,0.9064014340000001,199,7,16,725,721,1970,14,9,8,1,1,1,2
302,1537,0,0.580592479,1,1,1,4,0.412149246,104,6,3,769,1134,999,7,3,6,1,1,1,2
305,1537,1,1.873352626,0,3,0,2,0.027449594,158,5,1,360,1162,286,9,7,8,1,0,0,1
306,606,0,1.904421705,0,1,1,32,0.349755989,146,7,3,286,1889,3473,15,5,6,1,0,0,2
307,1843,0,0.498761392,1,0,1,54,0.031549522999999996,99,1,4,519,1988,286,7,4,12,1,0,0,2
310,1203,1,0.49936095799999997,0,0,0,9,0.350065333,109,7,15,1170,1805,3269,9,11,8,1,0,1,1
312,972,1,0.498991535,0,0,1,45,0.612994591,94,1,4,688,860,3302,13,1,15,1,0,1,0
315,1843,0,1.7029537869999998,0,0,0,24,0.099335632,134,3,1,68,891,286,14,2,9,1,1,0,3
317,832,1,1.153612026,0,8,1,12,0.42100239,199,3,20,177,1520,1094,17,3,13,1,1,1,3
318,710,0,0.49878019,1,0,1,41,0.033338924,193,1,4,144,1988,286,7,4,14,1,0,0,2
320,1271,0,0.49887667,1,0,0,5,0.07824766799999999,156,2,0,115,1809,3269,12,2,17,0,0,1,1
321,832,1,0.49908287700000004,0,3,0,27,0.140553296,134,3,15,1331,1670,3358,9,3,11,0,1,1,1
322,1027,0,0.69715366,1,0,1,51,0.7988087979999999,118,7,2,1749,644,3269,17,3,11,1,1,1,2
323,1154,1,0.7087677040000001,0,0,0,32,0.351322636,146,2,15,286,662,824,16,3,13,1,0,1,0
324,1203,0,2.623093711,1,2,0,21,0.415593004,182,5,7,667,1364,1970,10,0,2,1,1,1,2
325,1203,0,1.330550917,0,0,0,9,0.580141504,195,1,7,319,1960,1590,11,1,7,0,1,1,1
326,1849,1,2.57606779,1,0,1,16,0.798647351,89,4,10,333,1740,3269,15,5,6,1,1,0,1
327,1843,0,1.8275250619999999,1,0,1,43,0.7986019059999999,111,6,7,333,1951,1598,19,7,3,1,1,1,3
328,1203,0,1.7345359790000001,1,2,0,57,0.351092268,190,3,1,471,823,3943,11,11,12,1,0,1,1
329,1154,1,0.49910328600000003,0,0,1,37,0.9068490929999999,124,8,14,788,1119,3302,12,10,3,1,0,0,3
330,1843,0,0.498771533,1,0,1,20,0.030966037000000002,85,1,11,275,1988,286,7,4,7,1,0,0,2
333,1203,0,2.610890003,1,3,0,18,0.157335893,178,5,16,342,1162,1671,5,0,13,1,0,0,0
335,1872,1,0.498982849,1,8,0,32,0.154252455,160,7,20,231,1670,1970,17,3,19,1,0,0,2
337,1567,0,0.654839487,1,1,0,16,0.100747973,170,7,3,461,1199,670,17,0,11,1,1,1,2
340,1203,0,2.5191557209999997,1,0,0,6,0.128875609,135,6,0,364,1670,1970,7,6,14,1,1,1,2
341,1203,1,1.782310413,1,2,1,4,0.407349945,80,6,3,769,1119,1970,8,3,14,1,1,0,2
342,1027,1,2.012717587,1,0,1,9,0.42250621,137,2,7,538,730,1970,6,1,2,1,0,1,2
346,1843,0,0.498752808,1,0,1,54,0.033913161000000004,105,1,11,275,1988,286,7,4,7,1,0,0,2
347,606,1,1.830072709,0,0,1,49,0.412620249,142,8,1,610,1988,1212,7,3,9,1,0,1,1
348,1027,0,1.7480666219999998,1,6,0,49,0.858122644,160,2,1,364,1374,3358,19,2,17,0,0,0,0
351,1271,1,0.498911541,1,3,1,53,0.15166243699999998,93,5,20,231,1023,3269,19,10,15,1,1,0,1
352,1958,0,1.281872499,1,0,0,27,0.144744748,169,1,17,319,1555,1590,18,10,9,1,0,1,3
353,1027,1,0.49932271899999997,0,3,1,53,0.849117817,103,5,13,1248,1917,1970,10,0,4,1,0,1,3
356,710,0,0.49875753899999997,1,0,1,41,0.03132804,88,1,4,519,1988,286,7,4,7,1,0,0,2
357,1576,1,0.48896237299999995,1,1,0,23,0.024249561,136,8,20,323,818,1970,16,3,6,1,0,1,3
360,1949,1,2.686846335,1,0,0,16,0.554752092,177,1,3,447,1787,3269,11,5,3,1,1,0,1
361,1843,0,2.499015934,1,16,1,27,0.026248532999999998,132,4,1,1209,1957,1950,19,7,13,1,1,0,1
362,1203,0,0.49875834399999996,0,4,0,32,0.6111420329999999,146,7,19,667,970,1610,8,3,11,1,0,0,2
363,1027,1,0.629318252,1,3,0,57,0.8588215379999999,138,2,15,1698,1010,1970,7,0,6,1,1,0,3
364,710,0,0.49881657799999995,1,0,1,20,0.03532611,105,1,4,115,1988,286,7,4,7,1,0,0,2
365,1203,1,0.612808939,1,4,0,34,0.34797401899999997,127,8,9,248,1917,1970,7,11,5,1,0,1,0
366,1456,1,0.47616440600000004,0,8,0,5,0.798614322,136,4,1,115,1951,1598,19,3,19,1,1,0,1
368,1843,0,0.498757745,1,5,1,20,0.031651686,85,1,11,144,1988,286,7,4,7,1,0,0,2
369,1154,1,2.577854002,0,0,1,54,0.798619437,169,1,12,333,1362,3269,13,11,2,1,0,1,0
370,1203,0,1.250958355,1,0,0,18,0.565468765,176,8,0,1248,1555,1590,17,1,12,1,1,1,0
373,606,0,0.498758847,1,0,1,54,0.032797277,105,1,4,275,1988,286,7,4,7,1,0,0,2
374,1203,0,0.67156714,1,0,1,16,0.561580049,117,3,1,403,721,2655,9,3,9,1,1,1,3
376,606,1,1.672004016,1,2,1,21,0.40491690799999996,157,6,4,750,1435,2700,15,3,15,1,0,1,2
377,1203,0,1.155281652,0,7,0,12,0.557086951,101,4,16,319,610,1590,6,1,2,1,0,1,2
381,1027,0,1.398199501,1,3,1,51,0.13614594300000002,155,5,20,667,1199,790,14,9,4,1,1,1,2
383,1843,0,2.544512134,1,0,0,16,0.09104848,101,7,0,950,735,3358,12,0,13,0,1,1,1
384,710,0,0.498770069,1,0,1,20,0.03146249,85,1,4,275,1988,286,7,4,7,1,0,0,2
385,1203,1,0.499006295,0,0,1,30,0.41253519200000005,170,3,7,788,721,1970,14,9,6,1,1,0,3
386,1027,0,1.093842264,1,7,1,47,0.35670869299999997,163,2,15,323,730,3265,7,6,13,1,0,1,2
388,1154,1,2.473782765,0,8,0,2,0.798635653,136,4,10,115,1759,1598,13,7,7,1,0,1,2
391,1027,0,0.670485022,0,4,1,39,0.082978657,121,2,7,66,644,665,8,1,2,1,1,0,3
393,1991,1,2.6448456830000002,1,0,0,27,0.798606925,170,7,0,115,1515,1598,16,10,20,0,0,1,1
394,1203,0,0.544237219,0,4,0,32,0.402505045,146,7,15,667,1517,3269,8,3,13,1,1,1,3
396,1203,0,1.6652617269999999,0,0,0,43,0.412907584,127,3,7,1331,721,1970,12,2,12,1,0,0,3
397,1872,1,1.773612344,0,0,0,6,0.052482285999999996,199,6,14,293,1805,3269,10,4,8,1,1,0,3
398,1849,1,1.8031508490000001,1,1,1,14,0.410969363,103,7,9,286,1805,3269,9,2,3,1,0,1,1
399,1203,0,2.554464151,1,3,0,8,0.030517064,110,5,3,248,1162,3952,11,12,19,1,1,0,1
400,1600,1,2.033985834,1,0,1,16,0.35189252,121,7,15,179,1291,2655,16,0,7,1,1,1,1
401,1271,0,1.90062501,1,0,0,2,0.7986176770000001,155,1,10,497,1931,3269,18,10,9,1,0,0,3
405,1203,0,1.974767093,1,0,1,37,0.121918771,111,6,3,211,721,1970,14,3,3,1,0,1,1
406,1843,0,0.498753423,1,0,1,20,0.032735935,99,1,4,610,1988,286,7,4,7,1,0,0,2
408,1980,0,1.7869275059999998,1,0,1,20,0.034680621,193,1,4,275,1988,286,7,4,7,1,0,0,1
409,965,0,0.49902509899999997,1,0,0,18,0.030382057999999997,134,6,1,364,1555,1590,5,0,13,1,0,1,2
410,1154,1,1.696314427,1,0,1,7,0.40782403899999997,146,7,16,286,1805,2655,9,10,12,0,1,0,2
412,710,0,0.49876708299999994,1,0,1,20,0.032864261,85,1,4,275,1988,286,7,4,7,1,0,0,2
413,710,0,0.498777827,1,0,1,30,0.034775959,88,1,4,275,1009,286,7,4,7,1,0,0,2
414,772,0,1.402419646,0,0,1,4,0.403548629,104,6,14,177,721,1484,7,6,6,1,1,1,3
415,1949,0,0.5999915020000001,0,0,0,16,0.411504166,198,1,15,1209,1539,3624,18,5,13,1,1,0,2
